ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
4276,100,ท่าประดู่ - สวนหมาก,2+000,0,0,0,0,0,231,0,0,0,0,231,0,0,249,กระบี่,ตรัง
1378,100,สามัคคีใหม่ - ห้วยปู,3+000,2,0,1,3,0,59,3,0,0,0,68,8.82,1,125,เชียงรายที่ 1,เชียงราย
1334,100,ผาบือ - ดอยช้างมูบ,4+500,9,0,0,0,0,0,0,0,0,0,9,0,0,76,เชียงรายที่ 1,เชียงราย
1337,100,หางปอน - ประตูเมือง,0+500,14,18,0,0,6,356,6,0,0,0,400,3,0,412,แม่ฮ่องสอน,แม่ฮ่องสอน
4258,200,บ้านซา - ควนชัน,11+000,15,0,10,0,0,428,3,0,0,0,456,0.66,0,693,กระบี่,ตรัง
1088,102,สะพานแม่กิ๊ดหลวง - แม่ซา,73+483,18,5,2,0,0,371,8,12,2,2,420,5.71,1,252,เชียงใหม่ที่ 1,เชียงใหม่
3590,100,ท่าซุง - ท่าน้ำมโนรมย์,0+500,22,5,0,0,0,117,12,16,0,0,172,16.28,4,234,อุทัยธานี,อุทัยธานี
1333,100,แม่สะนาน - ผักเฮือก,0+500,27,17,0,0,0,7,2,1,0,0,54,5.56,0,33,น่านที่ 2,น่าน
1349,100,สะเมิง - วัดจันทร์,50+000,30,16,6,1,0,306,9,3,0,0,371,3.5,6,148,เชียงใหม่ที่ 2,เชียงใหม่
1234,100,ทางเข้าพระบรมธาตุเจดีย์ศรีนครินทร์ฯ,1+500,31,22,0,0,0,13,5,0,0,0,71,7.04,0,347,เชียงรายที่ 1,เชียงราย
1349,100,สะเมิง - วัดจันทร์,72+000,32,7,8,2,0,174,11,2,0,0,236,6.36,0,131,เชียงใหม่ที่ 2,เชียงใหม่
1265,100,ปาย - วัดจันทร์,0+500,34,12,8,2,0,76,47,23,9,1,212,38.68,29,91,แม่ฮ่องสอน,แม่ฮ่องสอน
1285,100,ทุ่งมะส้าน - ห้วยผึ้ง,0+500,34,20,50,0,0,262,15,2,0,0,383,4.44,4,298,แม่ฮ่องสอน,แม่ฮ่องสอน
1349,100,สะเมิง - วัดจันทร์,51+875,35,5,4,0,0,177,4,4,0,0,229,3.49,0,139,เชียงใหม่ที่ 2,เชียงใหม่
4363,100,ฆอแย - กาโต,5+860,35,50,42,3,0,185,34,26,9,0,384,18.75,0,317,ยะลา,ยะลา
1270,100,กองลอย - แม่แฮใต้,0+200,37,1,0,0,0,748,18,4,3,9,820,4.15,0,598,เชียงใหม่ที่ 1,เชียงใหม่
1322,100,แม่จา - รินหลวง,89+800,39,10,6,1,1,329,71,51,3,3,514,25.29,9,383,เชียงใหม่ที่ 3,เชียงใหม่
1090,103,อุ้มผาง - กะแง่คี,167+799,41,61,9,0,0,327,9,15,0,0,462,5.2,25,648,ตากที่ 2 (แม่สอด),ตาก
1270,100,กองลอย - แม่แฮใต้,16+400,42,2,0,0,0,630,19,16,7,1,717,6,5,427,เชียงใหม่ที่ 1,เชียงใหม่
1358,100,ทางเข้าดอยอ่างขาง,0+500,43,71,23,0,0,78,6,0,0,0,221,2.72,22,91,เชียงใหม่ที่ 3,เชียงใหม่
2323,100,ทางเข้าอนุสรณ์ผู้เสียสละเขาค้อ,1+000,43,48,0,0,0,71,0,0,0,0,162,0,0,22,เพชรบูรณ์ที่ 1,เพชรบูรณ์
4278,100,ทอนแจ้ - อ่าวตง,2+000,44,36,4,0,0,255,20,153,2,2,516,34.3,4,365,กระบี่,ตรัง
1263,200,ปางอุ๋ง - แม่นาจร,64+725,47,41,4,0,0,536,21,5,2,2,658,4.56,9,265,เชียงใหม่ที่ 1,เชียงใหม่
1188,100,ปง - ห้วยกอก,34+360,49,12,0,0,0,101,7,13,1,0,183,11.48,25,276,พะเยา,พะเยา
1266,100,แม่ลาน้อย - ละอุบ,0+500,51,58,1,0,0,901,77,25,0,0,1113,9.16,19,986,แม่ฮ่องสอน,แม่ฮ่องสอน
1343,100,บุญเริง - ต้นหนุน,0+500,56,0,58,0,0,153,69,47,0,0,383,30.29,0,624,แพร่,แพร่
1267,100,แม่สลิดหลวง - แม่ระเมิง,0+500,60,18,0,0,0,484,23,0,0,0,585,3.93,42,435,ตากที่ 2 (แม่สอด),ตาก
2323,100,ทางเข้าอนุสรณ์ผู้เสียสละเขาค้อ,5+700,60,38,0,0,0,81,0,0,0,0,179,0,0,24,เพชรบูรณ์ที่ 1,เพชรบูรณ์
3272,100,ทองผาภูมิ - ปิล๊อก,38+286,60,13,42,3,0,315,15,4,0,0,452,4.87,6,337,กาญจนบุรี,กาญจนบุรี
1288,100,หนองหลวง - เปิ่งเคลิ่ง,5+800,63,47,13,0,4,777,56,7,0,0,967,6.93,2,582,ตากที่ 2 (แม่สอด),ตาก
