year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,THA,Thailand,TH,Amnat Charoen,TH37,91583,88146,179729,5736,6171,6527,4989,2724,3481,4388,5903,7140,6936,7354,7547,7045,5917,4062,2715,2948,6082,6527,6719,5543,3309,3690,4256,5503,7002,7142,7073,7278,6207,5060,2940,1924,1891,11818,12698,13246,10532,6033,7171,8644,11406,14142,14078,14427,14825,13252,10977,7002,4639,4839
2023,THA,Thailand,TH,Ang Thong,TH15,106897,94295,201192,4955,5111,5641,4825,3872,4670,5100,5283,6698,8339,8985,9812,8817,7808,6763,4516,5702,5157,5623,5902,5511,4376,5290,5128,5068,6321,7461,7339,7783,6907,5603,4726,3055,3045,10112,10734,11543,10336,8248,9960,10228,10351,13019,15800,16324,17595,15724,13411,11489,7571,8747
2023,THA,Thailand,TH,Bangkok,TH10,5883668,5595670,11479338,224135,220157,227055,309234,490628,588958,538011,473289,496749,463673,433726,391030,336248,251431,178449,109142,151753,229607,240164,241414,326826,457686,566975,540221,494802,498461,463225,414051,349859,278926,193045,139171,75288,85949,453742,460321,468469,636060,948314,1155933,1078232,968091,995210,926898,847777,740889,615174,444476,317620,184430,237702
2023,THA,Thailand,TH,Bueng Kan,TH38,143647,140084,283731,10757,11128,10252,7250,4467,6267,8206,9430,10360,10701,11209,11195,10417,8704,5481,3740,4083,11153,11725,10749,7530,5080,6725,7963,9038,10441,10263,10579,10740,9876,7637,4695,2858,3032,21910,22853,21001,14780,9547,12992,16169,18468,20801,20964,21788,21935,20293,16341,10176,6598,7115
2023,THA,Thailand,TH,Buri Ram,TH31,459143,429215,888358,31742,33336,32723,23875,13796,16872,21628,26350,31540,33494,34564,37347,37360,31043,21615,14555,17303,33014,35174,34299,25232,15506,17546,20332,24021,29117,31090,31879,33969,32985,26392,17204,10777,10678,64756,68510,67022,49107,29302,34418,41960,50371,60657,64584,66443,71316,70345,57435,38819,25332,27981
2023,THA,Thailand,TH,Chachoengsao,TH24,371697,358904,730601,19470,19483,19103,18898,19175,24564,24431,24101,27563,27838,27921,27954,25618,22056,16585,11020,15917,21070,20517,20688,21329,21907,27995,26264,23902,27551,27423,25603,24662,21672,17903,13148,8050,9220,40540,40000,39791,40227,41082,52559,50695,48003,55114,55261,53524,52616,47290,39959,29733,19070,25137
2023,THA,Thailand,TH,Chai Nat,TH18,111121,99099,210220,5259,5318,5334,4750,3331,3932,4529,5200,7147,9125,9884,11074,10062,8887,7061,4600,5628,5595,5518,5657,5383,3881,4342,4658,4997,6515,8172,8212,9085,8032,6879,5417,3390,3366,10854,10836,10991,10133,7212,8274,9187,10197,13662,17297,18096,20159,18094,15766,12478,7990,8994
2023,THA,Thailand,TH,Chaiyaphum,TH36,358011,336096,694107,21201,21630,21856,16460,10365,12862,16033,20708,26754,28026,30674,31910,31665,25481,17935,11508,12943,21471,22931,22771,18673,11946,13566,15368,19253,25159,26950,28206,29199,27709,21498,14601,8780,8015,42672,44561,44627,35133,22311,26428,31401,39961,51913,54976,58880,61109,59374,46979,32536,20288,20958
2023,THA,Thailand,TH,Chanthaburi,TH22,213217,206569,419786,11784,11628,11392,11359,10742,11811,12665,13761,16323,17245,17171,16816,14260,11977,9453,6423,8407,12229,12682,12321,11956,11794,13217,13128,13534,15780,16767,15950,15242,12785,10905,7984,5043,5252,24013,24310,23713,23315,22536,25028,25793,27295,32103,34012,33121,32058,27045,22882,17437,11466,13659
2023,THA,Thailand,TH,Chiang Mai,TH50,913480,876461,1789941,39037,42338,41387,56407,63539,57057,52235,47931,61201,78176,88920,81887,62712,43963,35385,28626,32679,41030,43196,43778,58608,67780,61251,53940,47399,56891,70965,81076,75759,56964,39976,29959,23903,23986,80067,85534,85165,115015,131319,118308,106175,95330,118092,149141,169996,157646,119676,83939,65344,52529,56665
