year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,THA,Thailand,TH,Amnat Charoen,TH37,Chanuman,TH3702,"12,501","12,488","24,989",931,"1,050","1,043",699,408,544,693,832,948,855,942,988,838,654,465,280,331,992,"1,045","1,048",809,525,586,673,809,942,890,940,938,806,651,337,231,266,"1,923","2,095","2,091","1,508",933,"1,130","1,366","1,641","1,890","1,745","1,882","1,926","1,644","1,305",802,511,597
2023,THA,Thailand,TH,Amnat Charoen,TH37,Hua Taphan,TH3706,"11,437","10,683","22,120",689,716,713,529,253,345,466,682,858,865,949,"1,043","1,012",950,590,389,388,731,792,785,586,311,335,437,579,767,852,908,982,894,756,457,272,239,"1,420","1,508","1,498","1,115",564,680,903,"1,261","1,625","1,717","1,857","2,025","1,906","1,706","1,047",661,627
2023,THA,Thailand,TH,Amnat Charoen,TH37,Lue Amnat,TH3707,"8,975","8,435","17,410",555,562,606,436,231,289,375,548,704,697,715,739,693,680,484,319,342,554,604,629,486,259,301,354,511,717,694,683,705,574,585,346,210,223,"1,109","1,166","1,235",922,490,590,729,"1,059","1,421","1,391","1,398","1,444","1,267","1,265",830,529,565
2023,THA,Thailand,TH,Amnat Charoen,TH37,Mueang Amnat Charoen,TH3701,"32,969","31,637","64,606","1,924","2,047","2,323","1,929","1,098","1,321","1,645","2,168","2,666","2,654","2,702","2,612","2,532","2,015","1,405",922,"1,006","2,000","2,194","2,348","2,118","1,342","1,408","1,588","2,039","2,634","2,737","2,626","2,611","2,171","1,667",982,616,556,"3,924","4,241","4,671","4,047","2,440","2,729","3,233","4,207","5,300","5,391","5,328","5,223","4,703","3,682","2,387","1,538","1,562"
2023,THA,Thailand,TH,Amnat Charoen,TH37,Pathum Ratchawongsa,TH3703,"11,917","11,873","23,790",825,912,946,677,382,509,598,835,927,852,887,938,792,640,473,350,374,947,964,971,739,439,516,592,761,945,905,828,893,761,619,371,304,318,"1,772","1,876","1,917","1,416",821,"1,025","1,190","1,596","1,872","1,757","1,715","1,831","1,553","1,259",844,654,692
2023,THA,Thailand,TH,Amnat Charoen,TH37,Phana,TH3704,"5,239","4,980","10,219",311,323,350,261,96,141,210,309,370,385,431,454,490,401,266,221,220,328,357,380,285,129,156,192,284,395,376,388,445,402,354,230,136,143,639,680,730,546,225,297,402,593,765,761,819,899,892,755,496,357,363
2023,THA,Thailand,TH,Amnat Charoen,TH37,Senangkhanikhom,TH3705,"8,545","8,050","16,595",501,561,546,458,256,332,401,529,667,628,728,773,688,577,379,234,287,530,571,558,520,304,388,420,520,602,688,700,704,599,428,217,155,146,"1,031","1,132","1,104",978,560,720,821,"1,049","1,269","1,316","1,428","1,477","1,287","1,005",596,389,433
2023,THA,Thailand,TH,Ang Thong,TH15,Chaiyo,TH1502,"10,820","9,604","20,424",518,550,597,517,402,450,518,549,686,767,911,"1,009",871,734,675,482,584,520,580,650,655,416,536,496,518,665,714,758,763,684,549,491,300,309,"1,038","1,130","1,247","1,172",818,986,"1,014","1,067","1,351","1,481","1,669","1,772","1,555","1,283","1,166",782,893
2023,THA,Thailand,TH,Ang Thong,TH15,Mueang Ang Thong,TH1501,"22,127","19,861","41,988","1,058","1,030","1,193","1,131",972,"1,155","1,250","1,272","1,519","1,813","1,849","1,869","1,660","1,396","1,170",771,"1,019","1,155","1,209","1,145","1,223","1,068","1,380","1,304","1,247","1,402","1,644","1,519","1,478","1,306",986,792,500,503,"2,213","2,239","2,338","2,354","2,040","2,535","2,554","2,519","2,921","3,457","3,368","3,347","2,966","2,382","1,962","1,271","1,522"
2023,THA,Thailand,TH,Ang Thong,TH15,Pa Mok,TH1503,"13,260","11,718","24,978",559,720,940,621,456,587,649,700,797,967,"1,016","1,147",965,"1,031",844,588,673,611,832,"1,012",775,494,599,628,628,787,854,889,808,843,655,511,394,398,"1,170","1,552","1,952","1,396",950,"1,186","1,277","1,328","1,584","1,821","1,905","1,955","1,808","1,686","1,355",982,"1,071"
2023,THA,Thailand,TH,Ang Thong,TH15,Pho Thong,TH1504,"20,764","18,012","38,776",826,899,942,857,695,884,940,944,"1,255","1,671","1,759","2,022","1,896","1,528","1,470",939,"1,237",910,949,998,925,864,983,939,934,"1,185","1,431","1,413","1,605","1,396","1,199",947,653,681,"1,736","1,848","1,940","1,782","1,559","1,867","1,879","1,878","2,440","3,102","3,172","3,627","3,292","2,727","2,417","1,592","1,918"
2023,THA,Thailand,TH,Ang Thong,TH15,Samko,TH1507,"9,310","8,284","17,594",544,490,476,422,322,416,434,480,579,757,813,868,787,642,539,346,395,484,520,502,470,340,405,448,439,539,729,658,733,625,494,444,244,210,"1,028","1,010",978,892,662,821,882,919,"1,118","1,486","1,471","1,601","1,412","1,136",983,590,605
2023,THA,Thailand,TH,Ang Thong,TH15,Sawaeng Ha,TH1505,"10,174","9,136","19,310",514,522,513,449,369,414,463,473,696,872,898,959,822,689,622,408,491,552,553,549,508,421,485,467,436,664,716,744,826,642,511,503,323,236,"1,066","1,075","1,062",957,790,899,930,909,"1,360","1,588","1,642","1,785","1,464","1,200","1,125",731,727
2023,THA,Thailand,TH,Ang Thong,TH15,Wiset Chai Chan,TH1506,"20,442","17,680","38,122",936,900,980,828,656,764,846,865,"1,166","1,492","1,739","1,938","1,816","1,788","1,443",982,"1,303",925,980,"1,046",955,773,902,846,866,"1,079","1,373","1,358","1,570","1,411","1,209","1,038",641,708,"1,861","1,880","2,026","1,783","1,429","1,666","1,692","1,731","2,245","2,865","3,097","3,508","3,227","2,997","2,481","1,623","2,011"
2023,THA,Thailand,TH,Bangkok,TH10,Bang Bon,TH1050,"105,425","115,185","220,610","3,989","3,576","4,050","6,006","8,482","11,231","10,979","10,022","9,919","8,709","7,652","6,320","4,750","3,808","2,522","1,411","1,999","4,295","4,593","4,680","7,437","9,497","13,426","12,154","11,555","10,502","9,389","7,603","6,364","5,328","3,532","2,351","1,139","1,340","8,284","8,169","8,730","13,443","17,979","24,657","23,133","21,577","20,421","18,098","15,255","12,684","10,078","7,340","4,873","2,550","3,339"
2023,THA,Thailand,TH,Bangkok,TH10,Bang Kapi,TH1006,"429,599","372,100","801,699","10,416","9,603","9,720","24,870","74,337","71,147","50,329","31,825","29,208","24,397","23,627","19,852","17,193","11,815","8,374","5,693","7,193","10,780","10,906","10,926","17,638","42,636","58,924","50,357","36,507","29,932","24,624","23,104","17,973","14,438","9,240","6,540","3,633","3,942","21,196","20,509","20,646","42,508","116,973","130,071","100,686","68,332","59,140","49,021","46,731","37,825","31,631","21,055","14,914","9,326","11,135"
2023,THA,Thailand,TH,Bangkok,TH10,Bang Khae,TH1040,"210,860","195,399","406,259","7,147","7,845","8,813","10,584","14,552","19,112","18,922","16,974","17,731","16,481","16,493","15,021","12,916","10,172","7,477","4,907","5,713","7,487","8,751","9,416","10,955","13,640","18,591","17,980","17,114","17,421","16,244","15,638","13,182","10,339","7,582","5,361","2,893","2,805","14,634","16,596","18,229","21,539","28,192","37,703","36,902","34,088","35,152","32,725","32,131","28,203","23,255","17,754","12,838","7,800","8,518"
2023,THA,Thailand,TH,Bangkok,TH10,Bang Khen,TH1005,"149,703","136,995","286,698","5,121","5,323","5,594","7,468","11,594","14,328","13,116","11,702","13,000","12,206","11,832","10,667","9,401","6,854","4,974","2,963","3,560","5,368","5,337","5,756","7,137","12,374","12,944","12,094","11,208","12,277","11,290","10,934","9,119","7,444","5,465","3,554","2,129","2,565","10,489","10,660","11,350","14,605","23,968","27,272","25,210","22,910","25,277","23,496","22,766","19,786","16,845","12,319","8,528","5,092","6,125"
2023,THA,Thailand,TH,Bangkok,TH10,Bang Kho Laem,TH1031,"54,628","49,542","104,170","1,749","1,949","2,036","2,586","3,364","4,616","4,339","3,646","4,132","4,258","4,698","4,525","4,051","2,973","2,228","1,411","2,067","1,758","1,737","4,331","2,428","3,315","3,392","3,584","4,028","4,613","5,146","3,276","4,197","2,831","1,784","1,378",787,957,"3,507","3,686","6,367","5,014","6,679","8,008","7,923","7,674","8,745","9,404","7,974","8,722","6,882","4,757","3,606","2,198","3,024"
